bowls_name,,bowls,bowl_dob
RT Ponting,,RAMF,1974
BB McCullum,,NO,1981
DJ Hussey,,RAOB,1977
Mohammad Hafeez,,RAOB,1980
SC Ganguly,,RAMF,1972
CL White,,RALB,1983
MV Boucher,,NO,1976
B Akhil,,NO,1977
AA Noffke,,RAMF,1977
P Kumar,,RAMF,1986
Z Khan,,LAMF,1978
SB Joshi,,LAOB,1969
W Jaffer,,RAOB,1978
JH Kallis,,RAMF,1975
R Dravid,,RAOB,1973
V Kohli,,RAMF,1988
K Goel,,RAOB,1986
MEK Hussey,,RAMF,1975
JR Hopes,,RAMF,1978
SK Raina,,RAOB,1986
JDP Oram,,RAMF,1978
S Badrinath,,RAOB,1980
PA Patel,,NO,1985
ML Hayden,,RAMF,1971
MS Dhoni,,RAMF,1981
KC Sangakkara,,RAOB,1977
Yuvraj Singh,,LAOB,1981
SM Katich,,LALB,1975
IK Pathan,,LAMF,1984
T Kohli,,RAMF,1988
YK Pathan,,RAOB,1982
S Dhawan,,NO,1985
G Gambhir,,RALB,1981
SK Warne,,RALB,1969
D Salunkhe,,RALB,1982
SK Trivedi,,RAMF,1982
V Sehwag,,RAOB,1978
SR Watson,,RAMF,1981
M Kaif,,RALB,1980
DS Lehmann,,LAOB,1970
RA Jadeja,,LAOB,1988
M Rawat,,NO,1985
L Ronchi,,NO,1981
ST Jayasuriya,,LAOB,1969
DJ Thornely,,RAMF,1978
RV Uthappa,,RAMF,1985
PR Shah,,NO,1987
AM Nayar,,RAMF,1983
SM Pollock,,RAMF,1973
Harbhajan Singh,,RAOB,1980
S Chanderpaul,,RALB,1974
LRPL Taylor,,RAOB,1984
WP Saha,,NO,1984
AS Yadav,,RAOB,1981
A Symonds,,RAMF,1975
SB Bangar,,RAMF,1972
WPUJC Vaas,,LAMF,1974
RP Singh,,RAMF,1985
AC Gilchrist,,NO,1971
Y Venugopal Rao,,RAOB,1982
VVS Laxman,,RAOB,1974
RG Sharma,,RAOB,1987
SB Styris,,RAMF,1975
LR Shukla,,RAMF,1981
PP Chawla,,RALB,1988
Kamran Akmal,,NO,1982
DPMD Jayawardene,,RAMF,1977
S Sohal,,RALB,1987
B Lee,,RAF,1976
WA Mota,,RAMF,1981
Shahid Afridi,,RALB,1980
DJ Bravo,,RAMF,1983
A Nehra,,LAMF,1979
MA Khote,,RAMF,1980
GC Smith,,RAMF,1981
Pankaj Singh,,RAMF,1985
S Sreesanth,,RAMF,1983
VRV Singh,,RAMF,1984
SS Tiwary,,NO,1989
RR Sarwan,,RALB,1980
DS Kulkarni,,RAMF,1988
R Vinay Kumar,,RAMF,1984
M Kartik,,LAOB,1976
I Sharma,,RAMF,1988
AB Agarkar,,RAMF,1977
AM Rahane,,RAMF,1988
TM Srivastava,,RAMF,1989
Shoaib Malik,,RAOB,1982
MK Tiwary,,RALB,1985
KD Karthik,,NO,1985
R Bhatia,,RAMF,1986
MF Maharoof,,RAMF,1984
VY Mahesh,,RAMF,1987
B Chipli,,RAMF,1983
DW Steyn,,RAF,1983
DB Das,,RALB,1986
MK Pandey,,RAOB,1989
HH Gibbs,,RAMF,1974
DNT Zoysa,,LAMF,1978
D Kalyankrishna,,RAMF,1983
SE Marsh,,LAOB,1983
SA Asnodkar,,RAOB,1984
BJ Hodge,,RAOB,1974
Sohail Tanvir,,LAMF,1984
Salman Butt,,NO,1984
Umar Gul,,RAMF,1984
AB Dinda,,RAMF,1984
AB de Villiers,,NO,1984
SP Fleming,,RAMF,1973
S Vidyut,,LAOB,1981
JA Morkel,,RAMF,1981
LPC Silva,,RALB,1979
DB Ravi Teja,,RALB,1987
Misbah-ul-Haq,,RALB,1974
PJ Sangwan,,LAMF,1990
YV Takawale,,NO,1984
RR Raje,,RAMF,1986
Mohammad Asif,,RAMF,1982
GD McGrath,,RAMF,1970
Joginder Sharma,,RAMF,1983
MS Gony,,RAMF,1984
M Muralitharan,,RAOB,1972
M Ntini,,RAMF,1977
DT Patil,,NO,1984
A Kumble,,RALB,1970
S Anirudha,,NO,1987
MM Patel,,RAMF,1983
CK Kapugedera,,RAMF,1987
A Chopra,,RAMF,1977
T Taibu,,RAOB,1983
J Arunkumar,,RAOB,1975
PP Ojha,,LAOB,1986
SP Goswami,,NO,1989
SR Tendulkar,,RAOB,1973
U Kaul,,NO,1987
Niraj Patel,,NO,1981
AD Mascarenhas,,RAMF,1977
TM Dilshan,,RAOB,1977
A Mishra,,RALB,1982
LA Pomersbach,,RAOB,1984
Iqbal Abdulla,,LAOB,1989
Younis Khan,,RALB,1977
PM Sarvesh Kumar,,RAMF,1989
DP Vijaykumar,,RAMF,1986
Shoaib Akhtar,,RAF,1975
Abdur Razzak,,LAOB,1982
H Das,,NO,1986
DR Smith,,RAMF,1983
SD Chitnis,,RAOB,1987
CRD Fernando,,RAMF,1979
VS Yeligati,,RAOB,1985
L Balaji,,RAMF,1981
A Mukund,,RALB,1990
RR Powar,,RAOB,1978
JP Duminy,,RAOB,1984
A Flintoff,,RAMF,1977
T Thushara,,LAMF,1981
KP Pietersen,,RAOB,1980
JD Ryder,,RAMF,1984
T Henderson,,RAMF,1974
Kamran Khan,,LAMF,1991
RS Bopara,,RAMF,1985
MC Henriques,,RAMF,1987
CH Gayle,,RAOB,1979
R Bishnoi,,LAMF,1987
KV Sharma,,RALB,1987
FH Edwards,,RAF,1982
AS Raut,,RALB,1987
PC Valthaty,,RAMF,1983
RJ Quiney,,RAMF,1982
Yashpal Singh,,RAMF,1981
M Manhas,,RAOB,1979
AA Bilakhia,,RAMF,1986
AN Ghosh,,RAMF,1986
BAW Mendis,,RAOB,1985
DL Vettori,,LAOB,1979
MN van Wyk,,LAOB,1979
RE van der Merwe,,LAOB,1984
TL Suman,,RAOB,1983
Shoaib Ahmed,,RAMF,1987
GR Napier,,RAMF,1980
KP Appanna,,LAOB,1988
LA Carseldine,,LAMF,1975
NV Ojha,,NO,1983
SM Harwood,,RAMF,1974
M Vijay,,RAOB,1984
DA Warner,,RALB,1986
SB Jakati,,LAOB,1980
RJ Harris,,RAMF,1979
D du Preez,,RAMF,1981
M Morkel,,RAF,1984
AD Mathews,,RAMF,1987
SL Malinga,,RAMF,1983
C Nanda,,RALB,1979
J Botha,,RAOB,1982
Mashrafe Mortaza,,RAMF,1983
A Singh,,RAMF,1988
GJ Bailey,,RAMF,1982
AB McDonald,,RAMF,1981
Y Nagar,,RAOB,1990
SS Shaikh,,RAMF,1987
R Ashwin,,RAOB,1986
Mohammad Ashraful,,RALB,1984
Jaskaran Singh,,RAMF,1989
Anirudh Singh,,RAMF,1980
CA Pujara,,RALB,1988
OA Shah,,RAOB,1978
AP Tare,,NO,1987
AT Rayudu,,RAOB,1985
R Sathish,,RAMF,1981
R McLaren,,RAMF,1983
AA Jhunjhunwala,,RAOB,1982
P Dogra,,RALB,1984
A Uniyal,,LAMF,1981
MS Bisla,,NO,1984
YA Abdulla,,LAFM,1983
EJG Morgan,,RAMF,1986
JM Kemp,,RAMF,1977
S Tyagi,,RAMF,1987
RS Gavaskar,,LAOB,1976
SE Bond,,RAMF,1975
S Ladda,,RALB,1986
DP Nannes,,LAMF,1976
KA Pollard,,RAMF,1987
DR Martyn,,RAMF,1971
S Narwal,,RAMF,1982
MJ Lumb,,RAMF,1980
Bipul Sharma,,LAOB,1983
AB Barath,,RAOB,1990
FY Fazal,,RAMF,1985
AC Voges,,LAOB,1979
MD Mishra,,RAOB,1984
UT Yadav,,RAF,1987
J Theron,,RAMF,1985
SJ Srivastava,,LAMF,1981
R Sharma,,RALB,1986
Mandeep Singh,,RAMF,1991
KM Jadhav,,RAOB,1985
SW Tait,,RAF,1983
KB Arun Karthik,,RALB,1986
KAJ Roach,,RAMF,1988
PD Collingwood,,RAMF,1976
CK Langeveldt,,RAMF,1974
VS Malik,,RAMF,1983
A Mithun,,RAMF,1989
AP Dole,,RAMF,1987
AN Ahmed,,RAMF,1988
RS Sodhi,,RAMF,1980
DE Bollinger,,LAMF,1981
S Sriram,,LAOB,1976
B Sumanth,,RAMF,1988
C Madan,,NO,1982
AG Paunikar,,NO,1988
MR Marsh,,RAMF,1991
AJ Finch,,LAOB,1986
STR Binny,,RAMF,1984
Harmeet Singh,,LAOB,1992
IR Jaggi,,RALB,1989
DT Christian,,RAMF,1983
MA Agarwal,,NO,1991
RV Gomez,,RAMF,1985
AUK Pathan,,RAMF,1984
UBT Chand,,RAOB,1993
DJ Jacobs,,RAMF,1982
NJ Rimmington,,RAMF,1982
Sunny Singh,,RAMF,1986
AL Menaria,,LAOB,1990
WD Parnell,,LAMF,1989
JJ van der Wath,,RAMF,1978
R Ninan,,RAOB,1985
S Aravind,,LAMF,1984
MS Wade,,NO,1987
TD Paine,,RAMF,1984
JEC Franklin,,LAMF,1980
SB Wagh,,LAMF,1988
AC Thomas,,RAMF,1977
Shakib Al Hasan,,LAOB,1987
DH Yagnik,,NO,1983
S Randiv,,RAOB,1985
BJ Haddin,,NO,1977
NLTC Perera,,RAMF,1989
NL McCullum,,RAOB,1980
JE Taylor,,RAMF,1984
J Syed Mohammad,,LAOB,1983
RN ten Doeschate,,RAMF,1980
TR Birt,,RAMF,1981
AG Murtaza,,LAOB,1990
Harpreet Singh,,RAMF,1991
M Klinger,,NO,1980
AC Blizzard,,LAMF,1984
I Malhotra,,RAMF,1984
L Ablish,,RAMF,1982
CA Ingram,,NO,1985
S Nadeem,,LAOB,1989
P Parameswaran,,LAMF,1985
CJ Ferguson,,RAMF,1984
VR Aaron,,NO,1989
AA Chavan,,LAOB,1985
ND Doshi,,LAOB,1978
B Kumar,,RAMF,1990
Y Gnaneswara Rao,,RAMF,1984
S Rana,,NO,1984
BA Bhatt,,LAOB,1990
F du Plessis,,RALB,1984
RE Levi,,RAMF,1988
GJ Maxwell,,RAOB,1988
SPD Smith,,RALB,1989
SA Yadav,,RAMF,1990
MN Samuels,,RAOB,1981
KK Cooper,,RAMF,1989
JP Faulkner,,LAMF,1990
HV Patel,,RAMF,1990
DAJ Bracewell,,RAMF,1990
DJ Harris,,RAMF,1979
Ankit Sharma,,LAOB,1991
SP Narine,,RAOB,1988
GB Hogg,,LALB,1971
RR Bhatkal,,RAMF,1985
CJ McKay,,RAMF,1983
N Saini,,RAF,1992
DA Miller,,RAOB,1989
Azhar Mahmood,,RAMF,1975
P Negi,,LAOB,1993
RJ Peterson,,LAOB,1779
KMDN Kulasekara,,RAMF,1982
A Ashish Reddy,,RAMF,1991
V Pratap Singh,,RAMF,1992
BB Samantray,,NO,1988
MJ Clarke,,LAOB,1981
Gurkeerat Singh,,RAOB,1990
AP Majumdar,,RALB,1984
PA Reddy,,RALB,1981
K Upadhyay,,RAMF,1986
P Awana,,RAMF,1986
AD Russell,,RAMF,1988
A Chandila,,RAOB,1983
CA Lynn,,LAOB,1990
Sunny Gupta,,RAOB,1988
MC Juneja,,RAOB,1990
KK Nair,,RAOB,1991
GH Vihari,,RAOB,1993
R Shukla,,RAMF,1990
MDKJ Perera,,NO,1990
AS Rajpoot,,RAMF,1993
B Laughlin,,RAMF,1982
M Vohra,,RAMF,1993
JD Unadkat,,LAMF,1991
Mohammed Shami,,RAMF,1990
BMAJ Mendis,,RALB,1983
R Rampaul,,RAMF,1984
CH Morris,,RAMF,1987
SV Samson,,NO,1994
SMSM Senanayake,,RAOB,1985
BJ Rohrer,,NO,1981
KL Rahul,,NO,1992
Q de Kock,,NO,1992
R Dhawan,,RAMF,1990
MG Johnson,,LAF,1981
LJ Wright,,RAMF,1985
IC Pandey,,RAMF,1989
CM Gautam,,NO,1986
X Thalaivan Sargunam,,RAOB,1985
DJG Sammy,,RAMF,1983
KW Richardson,,RAMF,1991
MM Sharma,,RAMF,1988
UA Birla,,RAMF,1989
Parvez Rasool,,RAOB,1989
Sandeep Sharma,,RAMF,1993
S Kaul,,RAMF,1990
Sachin Baby,,RAOB,1988
PV Tambe,,RALB,1971
NM Coulter-Nile,,RAMF,1987
CJ Anderson,,LAMF,1990
NJ Maddinson,,LAOB,1991
AR Patel,,LAOB,1994
JJ Bumrah,,RAF,1993
JDS Neesham,,RAMF,1990
TG Southee,,RAMF,1988
MA Starc,,LAF,1990
BR Dunk,,RAOB,1987
RR Rossouw,,RAOB,1989
Shivam Sharma,,NO,1993
YS Chahal,,RALB,1990
LMP Simmons,,RAMF,1985
VH Zol,,RAOB,1994
Imran Tahir,,RALB,1979
BCJ Cutting,,RAMF,1987
BE Hendricks,,LAMF,1990
S Gopal,,RALB,1993
M de Lange,,RAMF,1990
R Tewatia,,RALB,1993
JO Holder,,RAMF,1991
Karanveer Singh,,LALB,1987
SS Iyer,,RALB,1994
DJ Hooda,,RAOB,1995
Anureet Singh,,RAMF,1988
KS Williamson,,RAOB,1990
SA Abbott,,RAMF,1992
J Suchith,,LAOB,1994
RG More,,RAMF,1992
D Wiese,,RAMF,1985
HH Pandya,,RAMF,1993
SN Khan,,RAOB,1997
MJ McClenaghan,,LAMF,1986
DJ Muthuswami,,RAMF,1981
PJ Cummins,,RAF,1993
SN Thakur,,RAMF,1991
JC Buttler,,NO,1990
CR Brathwaite,,RAMF,1988
MP Stoinis,,RAMF,1989
Ishan Kishan,,NO,1998
C Munro,,RAMF,1987
P Sahu,,RALB,1985
KH Pandya,,LAOB,1991
AD Nath,,RAMF,1993
MJ Guptill,,RAOB,1986
KJ Abbott,,RAMF,1987
TM Head,,RAOB,1993
M Ashwin,,LALB,1990
NS Naik,,RAOB,1994
RR Pant,,NO,1997
SW Billings,,NO,1991
KC Cariappa,,RALB,1994
PSP Handscomb,,NO,1991
Swapnil Singh,,LAOB,1991
J Yadav,,RAOB,1990
UT Khawaja,,RAMF,1986
HM Amla,,RAMF,1983
F Behardien,,RAMF,1983
A Zampa,,RALB,1992
BB Sran,,LAMF,1992
N Rana,,RAOB,1993
S Kaushik,,LAOB,1995
ER Dwivedi,,NO,1988
CJ Jordan,,RAMF,1988
A Choudhary,,LAMF,1990
TS Mills,,RAF,1992
BA Stokes,,LAMF,1991
JJ Roy,,NO,1990
Vishnu Vinod,,NO,1993
Basil Thampi,,RAMF,1993
CR Woakes,,RAMF,1989
RA Tripathi,,RAMF,1991
DL Chahar,,RAMF,1992
V Shankar,,RAMF,1991
Rashid Khan,,RALB,1998
LH Ferguson,,RAMF,1991
RD Chahar,,RALB,1999
C de Grandhomme,,RAMF,1986
AF Milne,,RAMF,1992
S Badree,,RALB,1981
Mohammad Nabi,,RAOB,1985
AJ Tye,,RAMF,1986
K Rabada,,RAF,1995
Kuldeep Yadav,,LALB,1995
Washington Sundar,,RAOB,1999
DM Bravo,,RAMF,1989
AR Bawne,,RAOB,1992
SP Jackson,,NO,1986
Ankit Soni,,RALB,1993
TA Boult,,LAMF,1989
E Lewis,,NO,1991
MA Wood,,RAF,1990
RK Singh,,RAOB,1997
DJM Short,,LAOB,1990
K Gowtham,,RAOB,1988
TK Curran,,RAMF,1995
M Markande,,NO,1997
B Stanlake,,RAMF,1994
Mujeeb Ur Rahman,,RAOB,2001
A Dananjaya,,RAOB,1993
Shivam Mavi,,RAMF,1998
Shubman Gill,,RAOB,1999
Mohammed Siraj,,RAMF,1994
H Klaasen,,NO,1991
RK Bhui,,RALB,1996
JC Archer,,RAF,1995
PP Shaw,,RAOB,1999
LE Plunkett,,RAMF,1985
Mustafizur Rahman,,LAMF,1995
AD Hales,,RAMF,1989
MK Lomror,,LAOB,1999
DR Shorey,,RAOB,1992
MM Ali,,RAOB,1987
M Prasidh Krishna,,RAMF,1996
P Chopra,,RALB,1992
JPR Scantlebury-Searles,,RAMF,1986
Abhishek Sharma,,LAOB,2000
IS Sodhi,,RALB,1992
SO Hetmyer,,LALB,1996
S Dube,,RAMF,1993
NA Saini,,RAMF,1992
JM Bairstow,,RAMF,1989
Rasikh Salam,,RAMF,2001
KMA Paul,,RAMF,1998
N Pooran,,NO,1995
P Ray Barman,,LALB,2002
S Lamichhane,,LALB,2000
SM Curran,,LAMF,1998
GC Viljoen,,RAMF,1989
Avesh Khan,,RAMF,1996
HF Gurney,,LAMF,1986
SD Lad,,RAOB,1992
AS Joseph,,RAMF,1996
MJ Santner,,LAOB,1992
R Parag,,RALB,2001
JL Denly,,RALB,1986
LS Livingstone,,RALB,1993
KK Ahmed,,LAMF,1997
AJ Turner,,RAOB,1993
SE Rutherford,,RAMF,1998
Harpreet Brar,,LAOB,1995
Y Prithvi Raj,,LAMF,1998
P Simran Singh,,NO,2000
JL Pattinson,,RAMF,1990
A Nortje,,RAF,1993
T Banton,,NO,1998
D Padikkal,,RALB,2000
YBK Jaiswal,,RALB,2001
RD Gaikwad,,RAOB,1997
TU Deshpande,,RAMF,1995
Abdul Samad,,RALB,2001
PK Garg,,RAMF,2000
JR Philippe,,NO,1997
Kartik Tyagi,,RAMF,2000
CV Varun,,RALB,1991
KL Nagarkoti,,RAMF,1999
I Udana,,LAMF,1988
Ravi Bishnoi,,RALB,2000
Shahbaz Ahmed,,LAOB,1994
AT Carey,,RAMF,1974
N Jagadeesan,,LAMF,1991
T Natarajan,,LAMF,1991
P Dubey,,RALB,1993
SS Cottrell,,LAMF,1989
Arshdeep Singh,,RAMF,1999
DR Sams,,LAMF,1992
A Nel,,RAMF,1977
C Ganapathy,,RAMF,1981
TP Sudhindra,,RAMF,1984
BW Hilfenhaus,,RAMF,1983
P Amarnath,,RAMF,1982
B Geeves,,RAMF,1982
Gagandeep Singh,,RAMF,1981
AM Salvi,,RAMF,1981
RR Bose,,RAMF,1979
SS Sarkar,,RAMF,1984
RA Shaikh,,LAMF,1985
MB Parmar,,RAOB,1988
AA Kazi,,LAOB,1989
Anand Rajan,,RAMF,1987
P Prasanth,,LAOB,1985
SS Mundhe,,RAMF,1988
RW Price,,LAOB,1976
Harmeet Singh (2),,RAMF,1987
P Suyal,,LAMF,1989
MG Neser,,RAMF,1990
K Santokie,,LAMF,1984
JW Hastings,,RAMF,1985
GS Sandhu,,RAMF,1993
T Shamsi,,LALB,1990
SM Boland,,RAMF,1989
Tejas Baroka,,RALB,1996
SS Agarwal,,RALB,1993
NB Singh,,RAMF,1995
MJ Henry,,RAMF,1991
K Khejroliya,,LAMF,1992
KM Asif,,RAMF,1993
L Ngidi,,RAF,1996
DJ Willey,,LAMF,1990
CJ Dala,,RAMF,1989
JP Behrendorff,,LAMF,1990
SC Kuggeleijn,,RAMF,1992
S Midhun,,RALB,1994
O Thomas,,RAMF,1997
AS Roy,,LAOB,1997
S Sandeep Warrier,,RAMF,1991
JR Hazlewood,,RAMF,1991
CJ Green,,RAOB,1993
Monu Kumar,,LAMF,1994
